Date : 2025-04-22 15:18:28
Directory : /home/ehosta/Documents/42-minishell/src
Total : 107 files,  -2205 codes, -1243 comments, -518 blanks, all -3966 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /home/ehosta/Documents/42-minishell/lib/src/array/ft_array_fill.c         | C        |        -21 |        -11 |         -7 |        -39 |
| /home/ehosta/Documents/42-minishell/lib/src/array/ft_array_getmax.c       | C        |        -16 |        -11 |         -4 |        -31 |
| /home/ehosta/Documents/42-minishell/lib/src/array/ft_array_getmin.c       | C        |        -16 |        -11 |         -4 |        -31 |
| /home/ehosta/Documents/42-minishell/lib/src/array/ft_array_getpos.c       | C        |        -14 |        -11 |         -4 |        -29 |
| /home/ehosta/Documents/42-minishell/lib/src/array/ft_array_getsorted.c    | C        |        -27 |        -11 |         -4 |        -42 |
| /home/ehosta/Documents/42-minishell/lib/src/array/ft_array_getval.c       | C        |        -20 |        -11 |         -4 |        -35 |
| /home/ehosta/Documents/42-minishell/lib/src/array/ft_array_issorted.c     | C        |        -13 |        -11 |         -4 |        -28 |
| /home/ehosta/Documents/42-minishell/lib/src/array/ft_array_new.c          | C        |        -22 |        -11 |         -4 |        -37 |
| /home/ehosta/Documents/42-minishell/lib/src/array/ft_array_popint.c       | C        |        -23 |        -11 |         -4 |        -38 |
| /home/ehosta/Documents/42-minishell/lib/src/array/ft_array_posdist.c      | C        |        -21 |        -11 |         -4 |        -36 |
| /home/ehosta/Documents/42-minishell/lib/src/array/ft_array_prints.c       | C        |        -51 |        -11 |         -8 |        -70 |
| /home/ehosta/Documents/42-minishell/lib/src/array/ft_array_pushint.c      | C        |        -18 |        -11 |         -4 |        -33 |
| /home/ehosta/Documents/42-minishell/lib/src/fd/ft_putchar_fd.c            | C        |         -5 |        -11 |         -3 |        -19 |
| /home/ehosta/Documents/42-minishell/lib/src/fd/ft_putendl_fd.c            | C        |        -13 |        -11 |         -4 |        -28 |
| /home/ehosta/Documents/42-minishell/lib/src/fd/ft_putnbr_base_fd.c        | C        |        -24 |        -11 |         -4 |        -39 |
| /home/ehosta/Documents/42-minishell/lib/src/fd/ft_putnbr_fd.c             | C        |         -5 |        -11 |         -3 |        -19 |
| /home/ehosta/Documents/42-minishell/lib/src/fd/ft_putptr_fd.c             | C        |        -17 |        -11 |         -4 |        -32 |
| /home/ehosta/Documents/42-minishell/lib/src/fd/ft_putstr_fd.c             | C        |         -5 |        -11 |         -3 |        -19 |
| /home/ehosta/Documents/42-minishell/lib/src/free/ft_free_inttab.c         | C        |         -6 |        -11 |         -3 |        -20 |
| /home/ehosta/Documents/42-minishell/lib/src/free/ft_free_str.c            | C        |         -6 |        -11 |         -3 |        -20 |
| /home/ehosta/Documents/42-minishell/lib/src/free/ft_free_strtab.c         | C        |        -10 |        -11 |         -4 |        -25 |
| /home/ehosta/Documents/42-minishell/lib/src/get_next_line/get_next_line.c | C        |        -87 |        -11 |        -11 |       -109 |
| /home/ehosta/Documents/42-minishell/lib/src/is/ft_isalnum.c               | C        |         -5 |        -11 |         -3 |        -19 |
| /home/ehosta/Documents/42-minishell/lib/src/is/ft_isalpha.c               | C        |         -5 |        -11 |         -3 |        -19 |
| /home/ehosta/Documents/42-minishell/lib/src/is/ft_isascii.c               | C        |         -5 |        -11 |         -3 |        -19 |
| /home/ehosta/Documents/42-minishell/lib/src/is/ft_isdigit.c               | C        |         -5 |        -11 |         -3 |        -19 |
| /home/ehosta/Documents/42-minishell/lib/src/is/ft_isincharset.c           | C        |        -11 |        -11 |         -3 |        -25 |
| /home/ehosta/Documents/42-minishell/lib/src/is/ft_isprint.c               | C        |         -5 |        -11 |         -3 |        -19 |
| /home/ehosta/Documents/42-minishell/lib/src/is/ft_issorted.c              | C        |         -9 |        -11 |         -4 |        -24 |
| /home/ehosta/Documents/42-minishell/lib/src/is/ft_isspace.c               | C        |         -8 |        -11 |         -3 |        -22 |
| /home/ehosta/Documents/42-minishell/lib/src/lst/ft_lstadd_back.c          | C        |         -8 |        -11 |         -3 |        -22 |
| /home/ehosta/Documents/42-minishell/lib/src/lst/ft_lstadd_front.c         | C        |         -8 |        -11 |         -3 |        -22 |
| /home/ehosta/Documents/42-minishell/lib/src/lst/ft_lstclear.c             | C        |        -14 |        -11 |         -4 |        -29 |
| /home/ehosta/Documents/42-minishell/lib/src/lst/ft_lstdelone.c            | C        |         -9 |        -11 |         -3 |        -23 |
| /home/ehosta/Documents/42-minishell/lib/src/lst/ft_lstiter.c              | C        |        -11 |        -11 |         -3 |        -25 |
| /home/ehosta/Documents/42-minishell/lib/src/lst/ft_lstlast.c              | C        |         -9 |        -11 |         -3 |        -23 |
| /home/ehosta/Documents/42-minishell/lib/src/lst/ft_lstmap.c               | C        |        -24 |        -11 |         -4 |        -39 |
| /home/ehosta/Documents/42-minishell/lib/src/lst/ft_lstnew.c               | C        |        -11 |        -11 |         -4 |        -26 |
| /home/ehosta/Documents/42-minishell/lib/src/lst/ft_lstsize.c              | C        |        -19 |        -11 |         -4 |        -34 |
| /home/ehosta/Documents/42-minishell/lib/src/math/ft_abs.c                 | C        |         -5 |        -11 |         -3 |        -19 |
| /home/ehosta/Documents/42-minishell/lib/src/math/ft_sign.c                | C        |         -5 |        -11 |         -3 |        -19 |
| /home/ehosta/Documents/42-minishell/lib/src/math/ft_sqrt.c                | C        |         -8 |        -11 |         -3 |        -22 |
| /home/ehosta/Documents/42-minishell/lib/src/mem/ft_bzero.c                | C        |        -11 |        -11 |         -4 |        -26 |
| /home/ehosta/Documents/42-minishell/lib/src/mem/ft_calloc.c               | C        |        -14 |        -11 |         -4 |        -29 |
| /home/ehosta/Documents/42-minishell/lib/src/mem/ft_memalloc.c             | C        |        -10 |        -11 |         -5 |        -26 |
| /home/ehosta/Documents/42-minishell/lib/src/mem/ft_memchr.c               | C        |        -13 |        -11 |         -4 |        -28 |
| /home/ehosta/Documents/42-minishell/lib/src/mem/ft_memcmp.c               | C        |        -15 |        -11 |         -4 |        -30 |
| /home/ehosta/Documents/42-minishell/lib/src/mem/ft_memcpy.c               | C        |        -18 |        -11 |         -4 |        -33 |
| /home/ehosta/Documents/42-minishell/lib/src/mem/ft_memmove.c              | C        |        -19 |        -11 |         -4 |        -34 |
| /home/ehosta/Documents/42-minishell/lib/src/mem/ft_memset.c               | C        |        -12 |        -11 |         -4 |        -27 |
| /home/ehosta/Documents/42-minishell/lib/src/misc/ft_selection_sort.c      | C        |        -25 |        -11 |         -4 |        -40 |
| /home/ehosta/Documents/42-minishell/lib/src/printf/ft_printf.c            | C        |        -92 |        -11 |        -12 |       -115 |
| /home/ehosta/Documents/42-minishell/lib/src/str/ft_split.c                | C        |        -85 |        -11 |        -10 |       -106 |
| /home/ehosta/Documents/42-minishell/lib/src/str/ft_strchr.c               | C        |        -15 |        -11 |         -4 |        -30 |
| /home/ehosta/Documents/42-minishell/lib/src/str/ft_strdup.c               | C        |        -19 |        -11 |         -4 |        -34 |
| /home/ehosta/Documents/42-minishell/lib/src/str/ft_striteri.c             | C        |        -13 |        -11 |         -4 |        -28 |
| /home/ehosta/Documents/42-minishell/lib/src/str/ft_strjoin.c              | C        |        -24 |        -11 |         -4 |        -39 |
| /home/ehosta/Documents/42-minishell/lib/src/str/ft_strlcat.c              | C        |        -21 |        -11 |         -4 |        -36 |
| /home/ehosta/Documents/42-minishell/lib/src/str/ft_strlcpy.c              | C        |        -20 |        -11 |         -4 |        -35 |
| /home/ehosta/Documents/42-minishell/lib/src/str/ft_strlen.c               | C        |        -11 |        -11 |         -4 |        -26 |
| /home/ehosta/Documents/42-minishell/lib/src/str/ft_strlenc.c              | C        |        -11 |        -11 |         -4 |        -26 |
| /home/ehosta/Documents/42-minishell/lib/src/str/ft_strmapi.c              | C        |        -19 |        -11 |         -4 |        -34 |
| /home/ehosta/Documents/42-minishell/lib/src/str/ft_strncmp.c              | C        |        -23 |        -11 |         -3 |        -37 |
| /home/ehosta/Documents/42-minishell/lib/src/str/ft_strnstr.c              | C        |        -26 |        -11 |         -4 |        -41 |
| /home/ehosta/Documents/42-minishell/lib/src/str/ft_strrchr.c              | C        |        -12 |        -11 |         -4 |        -27 |
| /home/ehosta/Documents/42-minishell/lib/src/str/ft_strtrim.c              | C        |        -35 |        -11 |         -7 |        -53 |
| /home/ehosta/Documents/42-minishell/lib/src/str/ft_substr.c               | C        |        -34 |        -11 |         -7 |        -52 |
| /home/ehosta/Documents/42-minishell/lib/src/to/ft_atoi.c                  | C        |        -26 |        -11 |         -4 |        -41 |
| /home/ehosta/Documents/42-minishell/lib/src/to/ft_itoa.c                  | C        |        -63 |        -11 |         -9 |        -83 |
| /home/ehosta/Documents/42-minishell/lib/src/to/ft_tolower.c               | C        |         -7 |        -11 |         -3 |        -21 |
| /home/ehosta/Documents/42-minishell/lib/src/to/ft_toupper.c               | C        |         -7 |        -11 |         -3 |        -21 |
| /home/ehosta/Documents/42-minishell/lib/variables.mk                      | Makefile |       -127 |        -11 |         -4 |       -142 |
| /home/ehosta/Documents/42-minishell/src/builtins/builtin_env.c            | C        |         -3 |          0 |          0 |         -3 |
| /home/ehosta/Documents/42-minishell/src/builtins/builtin_exit.c           | C        |         -1 |          0 |          0 |         -1 |
| /home/ehosta/Documents/42-minishell/src/builtins/builtin_pwd.c            | C        |         -3 |          0 |          0 |         -3 |
| /home/ehosta/Documents/42-minishell/src/builtins/builtin_unset.c          | C        |         -2 |          0 |          0 |         -2 |
| /home/ehosta/Documents/42-minishell/src/errors/error_handler.c            | C        |         -7 |        -11 |         -3 |        -21 |
| /home/ehosta/Documents/42-minishell/src/exec/init/create_cmd.c            | C        |         -1 |          0 |          0 |         -1 |
| /home/ehosta/Documents/42-minishell/src/exec/process/exec.c               | C        |        -25 |          0 |          0 |        -25 |
| /home/ehosta/Documents/42-minishell/src/exec/process/execute_builtin.c    | C        |          4 |          0 |         -2 |          2 |
| /home/ehosta/Documents/42-minishell/src/exec/timeline/create_cmd_pipe.c   | C        |          2 |          0 |          0 |          2 |
| /home/ehosta/Documents/42-minishell/src/exec/timeline/restore_std.c       | C        |         24 |          0 |          3 |         27 |
| /home/ehosta/Documents/42-minishell/src/main.c                            | C        |          1 |          0 |          0 |          1 |
| /home/ehosta/Documents/42-minishell/src/misc/print_cmds.c                 | C        |         -1 |          0 |          0 |         -1 |
| /home/ehosta/Documents/42-minishell/src/parsing/tokenizer/expand_tokens.c | C        |          9 |         11 |         12 |         32 |
| Total                                                                     |          |     -2,205 |     -1,243 |       -518 |     -3,966 |
+---------------------------------------------------------------------------+----------+------------+------------+------------+------------+
